"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"118853",310075,NA,0.45817936865705,0.265345997481459,0.706378157225529,NA,NA,0.557982411804285,NA,0.672952925672987,NA,1.01942600385691,0.702608871449727,-1.4935155093013,0.509570186115995,-1.32515806887555,0.607226350638276,0.890348095037429,0.546524719800451
"118896",310076,NA,0.453197226111084,0.384335164063009,0.706378157225529,NA,-1.29704893901718,-1.18595567226559,NA,0.672952925672987,0.59409834274475,1.01942600385691,0.698768640616738,0.725541619431584,0.509570186115995,-1.32515806887555,0.647290809524183,0.926808568606234,0.546524719800451
"118939",310081,NA,0.433268655927221,-0.0733154766352616,-0.111722762852864,0.4846674434009,0.0309917747319384,-1.28333292569081,0.605426754778535,-0.694453448372694,NA,-0.991100966757019,-1.50168362668554,-1.4935155093013,0.462190844695156,0.767628257844833,0.647290809524183,NA,NA
"118982",310083,NA,0.45817936865705,-0.25637573291457,-0.111722762852864,NA,-1.45583641566109,-1.67726817818375,0.731242841282783,NA,NA,-0.991100966757019,0.668046793952832,0.644356602526722,0.462190844695156,0.756632883098491,0.462994298649011,0.875763905609906,-1.38835735574073
"119025",310084,NA,0.45817936865705,0.439253240946802,0.713554481085865,NA,0.603589038993332,-1.57989092475853,-1.35582400543475,NA,NA,1.01240845771166,0.668046793952832,0.640490649340776,0.509570186115995,-1.32515806887555,0.539116770532234,NA,NA
"119068",310086,-2.05350727800342,-2.37665973999749,0.210427920597666,-0.111722762852864,-0.933391258268663,0.72388258190539,-1.78349790919308,0.768247572607562,0.672952925672987,0.902424044117615,-0.991100966757019,0.702608871449727,0.713943759873746,0.509570186115995,-1.32515806887555,0.667323038967136,-1.14779237745878,0.546524719800451
"119111",310091,NA,0.478107938840914,-0.25637573291457,-0.111722762852864,0.414812334944272,0.329319761153841,0.531424979051952,0.738643787547739,NA,NA,NA,0.691088178950762,0.617294930225102,0.509570186115995,0.778623632591174,0.567161891752369,-1.14779237745878,NA
"119154",310092,NA,0.453197226111084,0.274499010295424,-0.908294711350247,NA,0.593965555560368,0.655359665229507,NA,NA,-1.21870819062824,1.02293477692953,-1.50168362668554,0.725541619431584,0.485880515405575,0.774958507675727,0.607226350638276,0.82836528997046,0.546524719800451
"119197",310096,NA,0.443232941019153,-0.25637573291457,-0.908294711350247,NA,-0.921733085131557,-1.62857955147114,NA,NA,NA,1.01942600385691,0.668046793952832,-1.4935155093013,0.419549437416402,0.760298008013938,0.487032973980555,0.853887621468623,0.546524719800451
"119240",310108,NA,0.453197226111084,0.292805035923355,-0.111722762852864,NA,-1.08533230349196,-0.792020419772647,-1.35582400543475,0.672952925672987,0.891279741658355,1.02293477692953,0.691088178950762,-1.4935155093013,0.481142581263492,0.760298008013938,0.607226350638276,0.934100663319995,0.546524719800451
