"","Provider.ID","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_score"
"191",33303,NA,NA,NA,NA,NA,NA,NA
"192",40001,NA,NA,2738,2450,683,1670,NA
"193",40002,1257,NA,39,2275,1005,1547,NA
"194",40004,1400,348,1348,2116,2009,1421,1675
"195",40007,840,1316,1128,2108,2165,1620,1691
"196",40010,891,52,1032,1432,2029,980,369
"197",40011,1547,NA,646,130,1209,1610,NA
"198",40014,852,NA,2084,2022,22,988,1655
"199",40015,1215,NA,1012,2305,683,1704,NA
"200",40016,2678,NA,235,891,1807,1819,1721
"201",40017,2046,NA,728,744,2058,318,1490
"202",40018,NA,NA,2497,1984,63,NA,NA
"203",40019,NA,NA,2432,2063,498,1257,NA
"204",40020,1594,1053,2132,1889,2564,1468,858
"205",40022,1763,557,1348,1644,1885,697,1251
"206",40026,862,2594,1548,2186,29,1534,820
"207",40027,1404,606,1782,1800,2607,1021,1658
"208",40029,862,2760,1179,775,2653,925,2031
"209",40036,1460,488,1748,2002,2693,1095,1183
"210",40039,2650,NA,847,871,1657,2636,NA
"211",40041,1107,NA,1072,1005,1603,52,1793
"212",40047,NA,NA,2209,2088,591,1167,NA
"213",40050,NA,NA,141,2582,834,1984,NA
"214",40051,NA,NA,480,2650,1758,1547,NA
"215",40055,2210,775,2250,2366,2407,2006,3031
"216",40062,1392,52,1503,1954,2221,1128,305
"217",40067,NA,NA,2714,99,1060,1959,NA
"218",40069,NA,NA,2543,2568,750,NA,NA
"219",40071,506,1905,958,1066,1797,993,828
"220",40072,NA,NA,119,214,930,1905,NA
"221",40074,NA,NA,2515,1854,471,NA,NA
"222",40076,NA,NA,575,2738,1139,2007,NA
"223",40078,256,2464,914,1286,1870,374,2136
"224",40080,NA,NA,NA,NA,NA,NA,NA
"225",40084,440,NA,1017,1082,1903,75,NA
"226",40085,1301,NA,2515,225,87,1959,NA
"227",40088,683,1934,582,1093,1156,2555,2103
"228",40114,1758,955,1976,2427,70,2097,2091
"229",40118,1000,2209,1151,1829,2376,975,1198
"230",40119,1134,NA,1539,2075,2287,664,1995
"231",40132,NA,NA,NA,NA,NA,NA,NA
"232",40134,1661,2184,2259,1867,512,2046,1244
"233",40137,NA,NA,2749,2582,395,1514,NA
"234",40147,NA,NA,NA,NA,NA,NA,NA
"235",40152,NA,NA,NA,NA,NA,NA,NA
"236",40153,1167,NA,2555,2665,780,NA,NA
"237",41300,NA,NA,NA,NA,1167,NA,NA
"238",41302,NA,NA,2154,NA,2760,NA,NA
"239",41303,NA,NA,1514,1167,1640,NA,NA
"240",41304,NA,NA,NA,NA,1743,NA,NA
"241",41305,NA,NA,NA,1577,2370,NA,NA
"242",41306,NA,NA,1769,1934,2370,NA,NA
"243",41307,NA,NA,2275,2209,885,1167,NA
"244",41308,NA,NA,NA,NA,2176,NA,NA
"245",41309,NA,NA,2246,1743,235,NA,NA
"246",41310,NA,NA,357,2027,130,1478,NA
"247",41311,NA,NA,1547,1514,488,NA,NA
"248",41312,NA,NA,141,2555,737,1854,NA
"249",41313,NA,NA,2324,1704,413,NA,NA
"250",41314,NA,NA,1347,1347,2355,NA,NA
"251",41316,NA,NA,2481,1704,2209,NA,NA
"252",41317,NA,NA,1215,1167,2497,NA,NA
"253",41318,NA,NA,NA,NA,2678,NA,NA
"254",41319,NA,NA,2387,2246,214,NA,NA
"255",41320,NA,NA,NA,NA,2154,NA,NA
"256",41321,NA,NA,2305,2324,205,1514,NA
"257",41322,NA,NA,2481,2515,225,1347,NA
"258",41323,NA,NA,2259,2259,498,1824,NA
"259",41324,NA,NA,2063,2288,365,NA,NA
"260",41326,NA,NA,2288,1215,2275,1478,NA
"261",41327,NA,NA,2088,1743,750,1257,NA
"262",41328,1301,NA,2194,2275,2606,1215,NA
"263",41329,NA,NA,NA,1824,575,NA,NA
"264",41330,NA,NA,39,2497,575,NA,NA
"265",41331,NA,NA,NA,1167,2404,NA,NA
"266",43300,NA,NA,NA,NA,NA,NA,NA
"267",50002,108,NA,646,614,1657,2105,1543
"268",50006,1265,NA,652,1269,1562,690,1232
"269",50007,949,1391,955,1651,2081,1357,366
"270",50008,NA,NA,NA,1934,2714,1313,1671
"271",50009,395,2027,690,1494,2003,658,774
"272",50013,440,2450,2738,575,365,1769,331
"273",50014,1704,NA,245,338,1298,225,1647
"274",50017,1728,847,766,1479,1617,800,1018
"275",50018,NA,NA,267,2623,357,2063,NA
"276",50022,1258,2404,697,1251,1982,820,1253
"277",50024,2209,NA,27,852,1744,2450,NA
"278",50025,810,2529,164,1594,1800,759,346
"279",50026,1040,2370,2161,2242,2322,1793,1844
"280",50028,NA,NA,2568,2288,512,1743,NA
"281",50030,299,NA,759,1484,2720,498,572
"282",50036,891,2246,1099,1053,1192,566,1401
"283",50038,2404,NA,2555,750,1107,153,874
"284",50039,1793,862,2510,1837,5,1927,1137
"285",50040,NA,NA,NA,1112,2194,NA,NA
"286",50042,NA,NA,728,658,1198,2623,NA
"287",50043,1156,2582,1066,1784,2199,1395,2015
"288",50045,365,NA,141,1124,1802,471,NA
"289",50047,744,1934,521,1720,1980,1093,579
"290",50054,2582,NA,2450,2650,800,1347,NA
"291",50055,1257,NA,2275,338,530,1640,NA
"292",50056,775,NA,1334,865,1600,658,2127
"293",50057,1999,690,1880,2373,319,1800,2112
"294",50058,646,2259,1012,1755,2054,75,1890
"295",50060,1448,431,1277,1758,2274,1611,2099
"296",50063,697,1167,1216,935,1836,395,1273
"297",50067,NA,NA,2229,1824,2636,1112,NA
"298",50069,918,2404,810,1626,2163,1128,1579
"299",50070,NA,NA,NA,NA,NA,NA,NA
"300",50071,NA,NA,NA,NA,1478,1514,NA
"301",50072,NA,NA,NA,NA,NA,NA,NA
"302",50073,1610,NA,NA,1431,1704,1215,NA
"303",50075,NA,NA,NA,1640,1514,1984,NA
"304",50076,NA,NA,NA,NA,NA,NA,NA
"305",50077,1238,2370,1562,2025,2422,1539,801
"306",50078,1577,NA,2568,75,1048,2324,NA
"307",50082,1221,2636,925,1819,2089,871,636
