"","Provider.ID","MORT_30_AMI_denominator","MORT_30_CABG_denominator","MORT_30_COPD_denominator","MORT_30_HF_denominator","MORT_30_PN_denominator","MORT_30_STK_denominator","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_denominator","PSI_4_SURG_COMP_score"
"189",33301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",33302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",33303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",40001,NA,NA,237,25,118,73,NA,NA,2738,2450,683,1670,NA,NA
"193",40002,57,NA,234,53,86,68,1257,NA,39,2275,1005,1547,NA,NA
"194",40004,38,210,241,40,139,76,1400,348,1348,2116,2009,1421,7022,1675
"195",40007,60,207,22,47,76,96,840,1316,1128,2108,2165,1620,2602,1691
"196",40010,41,197,256,22,61,89,891,52,1032,1432,2029,980,7295,369
"197",40011,65,NA,218,14,49,67,1547,NA,646,130,1209,1610,NA,NA
"198",40014,53,NA,253,53,104,67,852,NA,2084,2022,22,988,5345,1655
"199",40015,64,NA,12,58,119,62,1215,NA,1012,2305,683,1704,NA,NA
"200",40016,39,NA,247,19,79,79,2678,NA,235,891,1807,1819,2849,1721
"201",40017,60,NA,255,38,80,69,2046,NA,728,744,2058,318,3342,1490
"202",40018,NA,NA,231,47,82,NA,NA,NA,2497,1984,63,NA,NA,NA
"203",40019,NA,NA,246,45,131,63,NA,NA,2432,2063,498,1257,NA,NA
"204",40020,47,197,10,70,100,68,1594,1053,2132,1889,2564,1468,1834,858
"205",40022,62,212,246,56,79,79,1763,557,1348,1644,1885,697,648,1251
"206",40026,61,210,255,64,87,79,862,2594,1548,2186,29,1534,675,820
"207",40027,67,195,242,50,118,70,1404,606,1782,1800,2607,1021,922,1658
"208",40029,35,200,13,60,122,60,862,2760,1179,775,2653,925,6113,2031
"209",40036,65,192,252,41,83,52,1460,488,1748,2002,2693,1095,1,1183
"210",40039,74,NA,255,72,83,45,2650,NA,847,871,1657,2636,NA,NA
"211",40041,62,NA,241,33,91,68,1107,NA,1072,1005,1603,52,4229,1793
"212",40047,NA,NA,231,33,87,63,NA,NA,2209,2088,591,1167,NA,NA
"213",40050,NA,NA,248,54,100,59,NA,NA,141,2582,834,1984,NA,NA
"214",40051,NA,NA,237,39,67,58,NA,NA,480,2650,1758,1547,NA,NA
"215",40055,48,202,243,39,104,63,2210,775,2250,2366,2407,2006,1718,3031
"216",40062,57,213,253,32,89,65,1392,52,1503,1954,2221,1128,1329,305
"217",40067,NA,NA,244,33,144,52,NA,NA,2714,99,1060,1959,NA,NA
"218",40069,NA,NA,240,56,58,NA,NA,NA,2543,2568,750,NA,NA,NA
"219",40071,65,195,243,33,125,45,506,1905,958,1066,1797,993,7253,828
"220",40072,NA,NA,245,17,71,75,NA,NA,119,214,930,1905,NA,NA
"221",40074,NA,NA,8,31,89,NA,NA,NA,2515,1854,471,NA,NA,NA
"222",40076,NA,NA,230,44,61,59,NA,NA,575,2738,1139,2007,NA,NA
"223",40078,50,116,241,73,133,49,256,2464,914,1286,1870,374,235,2136
"224",40080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",40084,50,NA,244,30,71,54,440,NA,1017,1082,1903,75,NA,NA
"226",40085,43,NA,236,43,62,56,1301,NA,2515,225,87,1959,NA,NA
"227",40088,45,201,238,76,134,81,683,1934,582,1093,1156,2555,4066,2103
